Property_ID,City,Locality,Property_Type,Bedrooms,Bathrooms,Area_sqft,Price,Property_Age,Furnishing,Parking,Sale_Status,Sale_Date,Price_per_sqft,Property_Age_Group
P100015,Delhi,East,Builder Floor,2,3,1159,36516153.0,15,Furnished,No,Sold,2021-01-21,31506.60310612597,11-20 Years
P100016,Chennai,West,Studio,3,4,1542,14528108.0,17,Unfurnished,Yes,Sold,2022-09-14,9421.600518806745,11-20 Years
P100017,Hyderabad,West,Builder Floor,4,3,2314,21269118.0,0,Semi-Furnished,No,Sold,2022-10-15,9191.494382022473,0-5 Years
P100018,Bangalore,East,Builder Floor,3,1,626,19546454.0,17,Furnished,No,Sold,2023-02-07,31224.367412140575,11-20 Years
P100019,Pune,North,Villa,2,2,3495,4938764.0,8,Semi-Furnished,No,Sold,2023-02-09,1413.0941344778255,6-10 Years
P100020,Chennai,Central,Builder Floor,3,4,1101,33948342.0,12,Semi-Furnished,No,Available,,30834.098092643053,11-20 Years
P100021,Chennai,South,Builder Floor,1,1,707,10812755.0,15,Unfurnished,Yes,Sold,2023-12-23,15293.854314002829,11-20 Years
P100022,Bangalore,West,Villa,2,2,3778,22002820.0,21,Semi-Furnished,Yes,Sold,2021-11-13,5823.933298041292,20+ Years
P100023,Pune,South,Studio,5,2,3409,21049022.0,18,Unfurnished,Yes,Available,,6174.544441185099,11-20 Years
P100024,Hyderabad,Central,Studio,1,3,3016,28217193.0,22,Unfurnished,No,Sold,2023-01-05,9355.83322281167,20+ Years
P100025,Mumbai,West,Villa,3,2,1917,44674052.0,0,Furnished,Yes,Sold,2022-03-27,23304.14814814815,0-5 Years
P100026,Pune,South,Apartment,5,2,1931,19468749.0,7,Furnished,No,Sold,2023-12-26,10082.210771620921,6-10 Years
P100027,Bangalore,Central,Villa,1,3,3782,41600931.0,9,Semi-Furnished,Yes,Sold,2021-09-07,10999.717345319936,6-10 Years
P100028,Chennai,South,Apartment,4,4,2244,33465349.0,6,Furnished,No,Sold,2021-08-04,14913.257130124777,6-10 Years
P100029,Hyderabad,North,Builder Floor,1,3,1512,8030039.0,2,Semi-Furnished,Yes,Sold,2023-07-08,5310.8723544973545,0-5 Years
P100030,Pune,Central,Studio,5,4,3746,41463708.0,12,Unfurnished,No,Available,,11068.79551521623,11-20 Years
P100031,Mumbai,South,Apartment,4,2,3068,12538565.0,19,Semi-Furnished,Yes,Sold,2021-02-08,4086.885593220339,11-20 Years
P100032,Mumbai,North,Apartment,3,1,1052,40411105.0,10,Unfurnished,Yes,Sold,2021-06-10,38413.59790874525,6-10 Years
P100033,Delhi,North,Builder Floor,2,4,1196,14626773.0,22,Unfurnished,No,Available,,12229.74331103679,20+ Years
P100034,Delhi,Central,Studio,3,4,879,37997228.0,19,Semi-Furnished,Yes,Available,,43227.79067121729,11-20 Years
P100035,Kolkata,East,Builder Floor,2,4,3349,5945904.0,4,Unfurnished,No,Sold,2022-08-11,1775.4266945356824,0-5 Years
P100036,Bangalore,West,Studio,2,4,3928,11658754.0,12,Furnished,Yes,Sold,2024-04-04,2968.1145621181263,11-20 Years
P100037,Pune,Central,Studio,5,2,2179,34444414.0,11,Semi-Furnished,Yes,Available,,15807.441027994493,11-20 Years
P100038,Pune,North,Builder Floor,4,1,1296,18725526.0,15,Furnished,No,Sold,2022-04-17,14448.708333333334,11-20 Years
P100039,Kolkata,North,Apartment,4,4,3367,18688674.0,16,Unfurnished,No,Sold,2023-10-27,5550.541728541729,11-20 Years
P100040,Chennai,Central,Villa,1,1,985,41639961.0,13,Unfurnished,No,Sold,2022-02-11,42274.07208121828,11-20 Years
P100041,Chennai,East,Studio,3,2,1778,7602995.0,20,Unknown,No,Sold,2022-07-17,4276.150168728909,11-20 Years
P100042,Kolkata,West,Studio,5,4,661,31370632.0,9,Unfurnished,No,Sold,2024-01-03,47459.35249621785,6-10 Years
P100043,Chennai,South,Villa,3,1,1599,14511382.0,12,Furnished,No,Available,,9075.285803627266,11-20 Years
P100044,Delhi,Central,Villa,1,4,2851,24500516.0,11,Semi-Furnished,Yes,Available,,8593.65696246931,11-20 Years
P100045,Pune,West,Builder Floor,1,4,3701,17506657.0,3,Semi-Furnished,No,Sold,2022-02-11,4730.250472845177,0-5 Years
P100046,Kolkata,West,Studio,5,2,2011,42103908.0,18,Furnished,Yes,Sold,2021-12-22,20936.801591248135,11-20 Years
P100047,Pune,North,Builder Floor,1,4,1746,30805573.0,11,Unfurnished,Yes,Sold,2024-02-09,17643.512600229096,11-20 Years
P100048,Mumbai,South,Villa,5,1,1094,34154348.0,24,Unfurnished,Yes,Sold,2023-06-28,31219.696526508225,20+ Years
P100049,Delhi,Central,Builder Floor,1,1,3233,4172648.0,0,Semi-Furnished,No,Sold,2022-11-08,1290.6427466749149,0-5 Years
P100050,Hyderabad,North,Studio,4,2,2724,3926822.0,9,Furnished,Yes,Sold,2022-02-03,1441.564610866373,6-10 Years
P100051,Delhi,North,Apartment,5,3,3124,21153699.0,20,Semi-Furnished,No,Sold,2024-08-24,6771.350512163893,11-20 Years
P100052,Kolkata,East,Apartment,4,3,3746,10167108.0,1,Semi-Furnished,No,Available,,2714.123865456487,0-5 Years
P100053,Hyderabad,West,Studio,4,2,2664,30355074.0,4,Unfurnished,Yes,Available,,11394.547297297297,0-5 Years
P100054,Mumbai,Central,Builder Floor,5,2,2247,19912016.0,20,Semi-Furnished,Yes,Sold,2024-05-14,8861.600356030263,11-20 Years
P100055,Kolkata,Central,Villa,3,3,2637,4778898.0,16,Furnished,No,Sold,2021-10-27,1812.2480091012515,11-20 Years
P100056,Bangalore,Central,Villa,2,3,1441,34822956.0,3,Furnished,Yes,Sold,2023-01-05,24165.826509368493,0-5 Years
P100057,Pune,North,Apartment,1,1,1143,36224896.0,6,Furnished,No,Sold,2023-11-13,31692.82239720035,6-10 Years
P100058,Mumbai,East,Builder Floor,1,1,3885,22840356.0,14,Furnished,Yes,Available,,5879.113513513514,11-20 Years
P100059,Pune,South,Villa,3,1,3655,9696630.0,0,Unfurnished,Yes,Sold,2021-06-22,2652.9767441860463,0-5 Years
P100060,Chennai,North,Villa,2,3,642,38552173.0,13,Unfurnished,No,Sold,2023-11-09,60050.11370716511,11-20 Years
P100061,Bangalore,South,Studio,3,2,1849,28582687.0,14,Unfurnished,Yes,Sold,2023-12-22,15458.45700378583,11-20 Years
P100062,Bangalore,East,Builder Floor,2,4,2500,17654592.0,1,Unfurnished,No,Sold,2021-12-17,7061.8368,0-5 Years
P100063,Mumbai,West,Builder Floor,5,1,1649,27867186.0,19,Furnished,Yes,Sold,2024-09-05,16899.445724681624,11-20 Years
P100064,Bangalore,Central,Villa,5,4,2137,44706354.2264,1,Furnished,Yes,Available,,20920.147040898457,0-5 Years
P100065,Hyderabad,South,Builder Floor,4,2,3009,3864895.0,15,Semi-Furnished,Yes,Sold,2023-01-05,1284.4449983383183,11-20 Years
P100066,Bangalore,North,Builder Floor,4,3,2318,19229710.0,1,Semi-Furnished,No,Sold,2023-10-16,8295.819672131147,0-5 Years
P100067,Pune,South,Builder Floor,5,1,3219,19427381.0,15,Unfurnished,Yes,Sold,2022-08-21,6035.222429325878,11-20 Years
P100068,Pune,West,Studio,4,3,718,35964069.0,16,Semi-Furnished,Yes,Sold,2023-02-03,50089.232590529245,11-20 Years
P100069,Kolkata,Central,Villa,5,2,3154,25246406.0,17,Unfurnished,Yes,Sold,2024-04-12,8004.567533291059,11-20 Years
P100070,Pune,South,Apartment,3,1,1792,35346848.0,18,Unfurnished,Yes,Sold,2023-10-26,19724.803571428572,11-20 Years
P100071,Kolkata,West,Builder Floor,1,2,647,43695172.0,15,Unfurnished,Yes,Sold,2024-10-30,67535.04173106646,11-20 Years
P100072,Pune,North,Villa,5,2,576,44253299.0,3,Semi-Furnished,Yes,Sold,2021-06-18,76828.64409722222,0-5 Years
P100073,Hyderabad,East,Apartment,5,1,3947,21166899.0,16,Semi-Furnished,No,Available,,5362.7816062832535,11-20 Years
P100074,Kolkata,North,Studio,5,4,2085,42084769.0,0,Unfurnished,No,Sold,2024-05-18,20184.54148681055,0-5 Years
P100075,Delhi,Central,Villa,4,1,2331,11270388.0,22,Unknown,Yes,Available,,4835.001287001287,20+ Years
P100076,Chennai,North,Studio,4,3,412,25599485.0,20,Semi-Furnished,No,Sold,2022-04-15,62134.672330097084,11-20 Years
P100077,Mumbai,North,Villa,4,4,3832,4856031.0,12,Furnished,Yes,Available,,1267.2314718162838,11-20 Years
P100078,Pune,North,Studio,4,1,688,11765185.0,6,Unfurnished,Yes,Sold,2023-01-05,17100.559593023256,6-10 Years
P100079,Bangalore,North,Villa,3,1,830,27253264.0,8,Unfurnished,No,Sold,2023-10-02,32835.2578313253,6-10 Years
P100080,Pune,Central,Studio,5,1,3023,16245236.0,13,Semi-Furnished,Yes,Available,,5373.878928217003,11-20 Years
P100081,Bangalore,West,Apartment,3,1,1762,41805899.0,0,Semi-Furnished,No,Available,,23726.38989784336,0-5 Years
P100082,Chennai,South,Villa,4,1,2481,3994171.0,7,Semi-Furnished,Yes,Sold,2021-05-05,1609.9036678758564,6-10 Years
P100083,Chennai,East,Apartment,3,3,1747,38859715.0,9,Unfurnished,No,Sold,2024-07-13,22243.683457355466,6-10 Years
P100084,Chennai,South,Builder Floor,5,2,1974,24919031.0,3,Furnished,No,Sold,2022-07-09,12623.622593718339,0-5 Years
P100085,Bangalore,South,Apartment,5,3,1879,30843919.0,24,Furnished,Yes,Available,,16415.071314529006,20+ Years
P100086,Pune,East,Villa,4,2,1648,6890385.0,12,Semi-Furnished,No,Sold,2024-11-19,4181.058859223301,11-20 Years
P100087,Chennai,Central,Apartment,5,1,1040,34629356.0,17,Semi-Furnished,Yes,Sold,2024-05-16,33297.45769230769,11-20 Years
P100088,Hyderabad,East,Villa,3,3,532,3293172.0,8,Semi-Furnished,Yes,Available,,6190.172932330827,6-10 Years
P100089,Kolkata,Central,Studio,2,2,3951,16469512.0,7,Furnished,No,Available,,4168.4414072386735,6-10 Years
P100090,Bangalore,South,Builder Floor,5,2,2254,43757007.0,5,Semi-Furnished,Yes,Sold,2023-01-24,19413.04658385093,0-5 Years
P100091,Bangalore,Central,Apartment,3,1,3344,35133468.0,20,Semi-Furnished,Yes,Sold,2024-09-23,10506.41985645933,11-20 Years
P100092,Pune,West,Builder Floor,3,1,2354,39621341.0,18,Unfurnished,Yes,Sold,2023-01-05,16831.49575191164,11-20 Years
P100093,Bangalore,East,Apartment,3,4,1381,13971411.0,15,Semi-Furnished,Yes,Available,,10116.87979724837,11-20 Years
P100094,Bangalore,West,Villa,5,4,1644,33608745.0,0,Unfurnished,No,Available,,20443.275547445257,0-5 Years
P100095,Chennai,South,Apartment,2,2,800,23083413.0,14,Furnished,Yes,Sold,2024-11-12,28854.26625,11-20 Years
P100096,Pune,East,Builder Floor,4,4,1005,40730390.0,5,Semi-Furnished,Yes,Sold,2021-04-26,40527.751243781095,0-5 Years
P100097,Chennai,South,Apartment,4,3,1010,17544307.0,9,Furnished,No,Sold,2022-02-05,17370.60099009901,6-10 Years
P100098,Kolkata,West,Builder Floor,5,2,1483,42012373.0,4,Furnished,No,Sold,2022-03-26,28329.314227916384,0-5 Years
P100099,Kolkata,South,Builder Floor,5,3,3088,33160559.0,7,Furnished,No,Available,,10738.52299222798,6-10 Years
P100100,Chennai,East,Villa,1,4,531,42444970.0,0,Furnished,No,Sold,2022-12-16,79934.03013182674,0-5 Years
P100101,Kolkata,East,Studio,2,3,792,12516498.0,12,Furnished,Yes,Sold,2024-03-30,15803.65909090909,11-20 Years
P100102,Pune,South,Studio,3,2,1212,40897671.0,15,Unfurnished,Yes,Available,,33743.95297029703,11-20 Years
P100103,Mumbai,East,Apartment,3,3,3375,28180932.0,16,Unfurnished,Yes,Available,,8349.905777777778,11-20 Years
P100104,Chennai,East,Builder Floor,4,2,980,38023735.0,6,Furnished,Yes,Sold,2023-03-27,38799.72959183674,6-10 Years
P100105,Hyderabad,South,Villa,5,4,2461,5066087.0,14,Furnished,Yes,Sold,2021-05-29,2058.548151158066,11-20 Years
P100106,Hyderabad,West,Studio,2,2,2882,29448092.0,23,Semi-Furnished,No,Available,,10217.936155447605,20+ Years
P100107,Bangalore,East,Villa,4,4,2921,38909201.0,13,Furnished,No,Sold,2023-09-13,13320.507018144472,11-20 Years
P100108,Kolkata,East,Villa,2,1,2598,27160220.0,16,Unfurnished,Yes,Available,,10454.280215550423,11-20 Years
P100109,Hyderabad,East,Builder Floor,5,4,2917,9804977.0,24,Unfurnished,Yes,Sold,2024-04-07,3361.3222488858414,20+ Years
P100110,Bangalore,East,Apartment,3,2,810,5428062.0,22,Unfurnished,No,Sold,2023-04-21,6701.311111111111,20+ Years
P100111,Mumbai,South,Builder Floor,1,2,744,37496654.0,6,Unfurnished,No,Available,,50398.728494623654,6-10 Years
P100112,Pune,West,Studio,2,1,1203,25941620.0,23,Furnished,Yes,Available,,21564.106400665005,20+ Years
P100113,Pune,West,Studio,3,1,3667,36071148.0,13,Unfurnished,Yes,Sold,2023-04-19,9836.691573493319,11-20 Years
P100114,Pune,Central,Villa,2,4,2991,9308290.0,7,Unfurnished,Yes,Sold,2024-11-03,3112.0996322300234,6-10 Years
P100115,Hyderabad,East,Builder Floor,2,3,1496,3918763.0,12,Unfurnished,Yes,Available,,2619.4939839572194,11-20 Years
P100116,Mumbai,East,Builder Floor,2,3,593,44278688.0,0,Semi-Furnished,Yes,Sold,2021-08-17,74668.95109612141,0-5 Years
P100117,Hyderabad,Central,Villa,5,1,1337,13581285.0,3,Unknown,No,Sold,2024-07-05,10158.029169783096,0-5 Years
P100118,Kolkata,West,Apartment,4,4,1992,36320215.0,10,Unknown,No,Sold,2022-03-18,18233.039658634538,6-10 Years
P100119,Hyderabad,North,Villa,2,1,3076,38276748.0,8,Unfurnished,No,Available,,12443.67620286086,6-10 Years
P100120,Mumbai,North,Villa,5,1,1615,5387546.0,18,Furnished,No,Available,,3335.941795665635,11-20 Years
P100121,Mumbai,West,Studio,1,2,2877,24278112.0,21,Unfurnished,Yes,Sold,2022-02-24,8438.690302398332,20+ Years
P100122,Kolkata,East,Builder Floor,4,2,3972,37715794.0,3,Unfurnished,Yes,Sold,2021-06-19,9495.41641490433,0-5 Years
P100123,Mumbai,North,Studio,5,2,2664,21804293.0,0,Unfurnished,No,Sold,2023-08-24,8184.79466966967,0-5 Years
P100124,Mumbai,South,Villa,1,1,3468,25240224.0,18,Semi-Furnished,Yes,Available,,7278.034602076124,11-20 Years
P100125,Pune,South,Builder Floor,4,4,1369,36565656.0,18,Unfurnished,No,Available,,26709.756026296567,11-20 Years
P100126,Kolkata,Central,Villa,5,3,2932,27724950.0,18,Unfurnished,No,Sold,2023-06-07,9455.985675306958,11-20 Years
P100127,Delhi,West,Villa,1,3,1000,25373424.0,10,Furnished,No,Sold,2022-12-20,25373.424,6-10 Years
P100128,Delhi,West,Apartment,5,2,759,14726996.0,5,Furnished,No,Sold,2021-04-01,19403.15678524374,0-5 Years
P100129,Mumbai,North,Studio,1,4,2245,8162195.0,24,Semi-Furnished,Yes,Sold,2024-07-05,3635.721603563474,20+ Years
P100130,Delhi,East,Studio,2,2,1732,6172043.0,6,Furnished,Yes,Sold,2024-03-05,3563.535219399538,6-10 Years
P100131,Delhi,West,Villa,2,4,3116,43841932.0,22,Furnished,No,Available,,14069.939666238768,20+ Years
P100132,Mumbai,North,Apartment,4,4,820,16392721.0,0,Semi-Furnished,Yes,Sold,2021-09-24,19991.123170731706,0-5 Years
P100133,Delhi,North,Villa,1,4,3028,30290517.0,14,Unfurnished,Yes,Available,,10003.473249669749,11-20 Years
P100134,Hyderabad,West,Villa,2,1,1181,29311742.0,24,Unknown,No,Sold,2021-02-09,24819.425910245554,20+ Years
P100135,Bangalore,North,Villa,4,4,1834,36572375.0,3,Furnished,No,Available,,19941.31679389313,0-5 Years
P100136,Kolkata,Central,Apartment,3,1,2964,17394912.0,12,Semi-Furnished,No,Sold,2023-04-07,5868.728744939272,11-20 Years
P100137,Bangalore,Central,Builder Floor,2,3,642,28077698.0,23,Furnished,No,Sold,2023-01-05,43734.732087227414,20+ Years
P100138,Mumbai,West,Apartment,2,3,3077,17294736.0,11,Furnished,No,Sold,2022-09-07,5620.648683782905,11-20 Years
P100139,Pune,East,Villa,5,1,1416,11578534.0,0,Unfurnished,No,Available,,8176.930790960452,0-5 Years
P100140,Kolkata,Central,Builder Floor,3,3,2619,14144976.0,7,Semi-Furnished,Yes,Sold,2022-10-16,5400.907216494846,6-10 Years
P100141,Mumbai,Central,Villa,1,3,3102,12375787.0,24,Unfurnished,Yes,Available,,3989.6154094132817,20+ Years
P100142,Pune,West,Apartment,4,2,3216,20731015.0,20,Unfurnished,No,Sold,2023-10-07,6446.211131840796,11-20 Years
P100143,Bangalore,South,Apartment,3,1,859,15792682.0,22,Unfurnished,No,Sold,2024-11-16,18384.96158323632,20+ Years
P100144,Mumbai,North,Builder Floor,1,1,3836,31938012.0,10,Semi-Furnished,No,Sold,2021-02-15,8325.863399374348,6-10 Years
P100145,Kolkata,Central,Apartment,2,1,3549,31800011.0,9,Furnished,Yes,Sold,2022-11-03,8960.273598196674,6-10 Years
P100146,Kolkata,South,Villa,4,2,1913,16881699.0,1,Unfurnished,Yes,Sold,2022-02-27,8824.725039205436,0-5 Years
P100147,Chennai,East,Builder Floor,4,1,931,11499673.0,16,Semi-Furnished,No,Sold,2022-07-24,12351.958109559613,11-20 Years
P100148,Hyderabad,South,Studio,3,3,2377,3716373.0,12,Furnished,No,Sold,2024-11-07,1563.472023559108,11-20 Years
P100149,Delhi,West,Villa,5,4,1949,26490108.0,21,Semi-Furnished,No,Available,,13591.640841457158,20+ Years
P100150,Pune,East,Studio,1,2,3677,24231604.0,8,Unfurnished,Yes,Available,,6590.047321185749,6-10 Years
P100151,Chennai,East,Builder Floor,3,2,2172,40054576.0,15,Semi-Furnished,No,Sold,2021-07-13,18441.333333333332,11-20 Years
P100152,Delhi,South,Builder Floor,5,1,690,26156331.0,16,Unfurnished,Yes,Sold,2024-05-14,37907.72608695652,11-20 Years
P100153,Delhi,West,Villa,5,4,2381,39840925.0,9,Semi-Furnished,No,Sold,2023-06-22,16732.85384292314,6-10 Years
P100154,Mumbai,Central,Apartment,5,4,3975,35898382.0,16,Unfurnished,No,Sold,2022-07-17,9031.039496855346,11-20 Years
P100155,Delhi,South,Villa,4,4,1058,38226414.0,19,Furnished,No,Available,,36130.82608695652,11-20 Years
P100156,Hyderabad,Central,Apartment,1,3,3299,14476384.0,9,Semi-Furnished,No,Sold,2023-09-24,4388.1127614428615,6-10 Years
P100157,Kolkata,South,Apartment,1,4,953,7863042.0,21,Semi-Furnished,No,Sold,2021-01-22,8250.831059811122,20+ Years
P100158,Chennai,Central,Villa,3,1,2875,12097185.0,13,Furnished,Yes,Available,,4207.71652173913,11-20 Years
P100159,Delhi,South,Builder Floor,2,3,2918,3588409.0,14,Unfurnished,No,Sold,2021-05-08,1229.7494859492804,11-20 Years
P100160,Mumbai,East,Villa,3,4,3313,42136509.0,8,Unfurnished,Yes,Sold,2024-05-26,12718.535768185935,6-10 Years
P100161,Hyderabad,North,Studio,1,1,912,15448144.0,1,Unfurnished,No,Sold,2023-01-20,16938.754385964912,0-5 Years
P100162,Bangalore,East,Builder Floor,4,3,2771,39924861.0,13,Furnished,Yes,Available,,14408.105738000722,11-20 Years
P100163,Kolkata,Central,Apartment,3,3,2039,40299434.0,20,Semi-Furnished,Yes,Available,,19764.312898479646,11-20 Years
P100164,Kolkata,West,Builder Floor,2,4,654,14470834.0,6,Semi-Furnished,Yes,Available,,22126.65749235474,6-10 Years
P100165,Chennai,East,Villa,3,3,1120,3022974.0,3,Semi-Furnished,No,Available,,2699.0839285714287,0-5 Years
P100166,Kolkata,North,Builder Floor,5,2,2153,5488358.0,12,Furnished,Yes,Available,,2549.1676730143986,11-20 Years
P100167,Delhi,Central,Apartment,2,1,3037,11831175.0,21,Unfurnished,No,Sold,2023-11-12,3895.67830095489,20+ Years
P100168,Mumbai,East,Apartment,5,4,2365,17970725.0,21,Unfurnished,No,Sold,2024-01-30,7598.615221987315,20+ Years
P100169,Kolkata,South,Builder Floor,4,1,450,19238612.0,3,Unfurnished,Yes,Sold,2023-01-05,42752.47111111111,0-5 Years
P100170,Kolkata,West,Studio,1,1,1199,22786825.0,3,Semi-Furnished,No,Sold,2024-02-12,19004.858215179316,0-5 Years
P100171,Bangalore,Central,Apartment,3,2,499,8065499.0,8,Furnished,Yes,Sold,2021-10-31,16163.324649298596,6-10 Years
P100172,Bangalore,East,Studio,3,3,2147,40390484.0,10,Unfurnished,Yes,Sold,2023-04-18,18812.521658127618,6-10 Years
P100173,Pune,Central,Apartment,5,2,2911,33833947.0,0,Unfurnished,Yes,Sold,2024-10-28,11622.791824115424,0-5 Years
P100174,Hyderabad,South,Builder Floor,5,2,2946,3504933.0,12,Semi-Furnished,Yes,Sold,2022-10-21,1189.7260692464358,11-20 Years
P100175,Delhi,North,Apartment,1,3,3362,18456318.0,20,Unfurnished,Yes,Available,,5489.684116597264,11-20 Years
P100176,Kolkata,East,Studio,3,4,636,25471347.0,24,Unknown,Yes,Sold,2024-10-02,40049.28773584906,20+ Years
P100177,Kolkata,Central,Studio,1,1,871,8773719.0,8,Unfurnished,No,Available,,10073.156142365098,6-10 Years
P100178,Mumbai,Central,Builder Floor,5,4,1821,22826267.0,24,Semi-Furnished,Yes,Available,,12535.017572762219,20+ Years
P100179,Pune,Central,Studio,5,4,2604,4366110.0,17,Semi-Furnished,No,Available,,1676.6935483870968,11-20 Years
P100180,Hyderabad,North,Studio,2,2,2745,44287359.0,6,Unknown,Yes,Available,,16133.828415300546,6-10 Years
P100181,Pune,Central,Builder Floor,5,3,3485,30135836.0,13,Semi-Furnished,No,Sold,2021-09-17,8647.298708751794,11-20 Years
P100182,Chennai,West,Apartment,5,3,2563,35775113.0,23,Unfurnished,No,Sold,2024-03-06,13958.296137339055,20+ Years
P100183,Hyderabad,West,Builder Floor,1,1,538,32789363.0,16,Unfurnished,Yes,Available,,60946.77137546468,11-20 Years
P100184,Kolkata,Central,Apartment,2,3,2522,43812419.0,17,Furnished,No,Available,,17372.09318001586,11-20 Years
P100185,Kolkata,West,Apartment,2,4,3262,3345218.0,0,Unfurnished,Yes,Sold,2024-10-11,1025.5113427345186,0-5 Years
P100186,Hyderabad,East,Apartment,3,3,1783,12531276.0,8,Unfurnished,Yes,Sold,2021-11-20,7028.197420078519,6-10 Years
P100187,Kolkata,West,Villa,4,3,3495,22448340.0,9,Furnished,Yes,Sold,2024-06-17,6422.98712446352,6-10 Years
P100188,Delhi,Central,Apartment,3,4,805,12147399.0,15,Furnished,Yes,Sold,2024-04-10,15089.936645962733,11-20 Years
P100189,Hyderabad,South,Builder Floor,3,1,2112,37079607.0,10,Semi-Furnished,No,Sold,2021-02-24,17556.632102272728,6-10 Years
P100190,Pune,East,Builder Floor,3,1,1350,35984264.0,20,Furnished,Yes,Available,,26655.01037037037,11-20 Years
P100191,Hyderabad,North,Builder Floor,2,4,3014,25661997.0,3,Furnished,No,Available,,8514.265759787657,0-5 Years
P100192,Kolkata,Central,Villa,1,3,2773,20451392.0,23,Semi-Furnished,No,Available,,7375.186440677966,20+ Years
P100193,Delhi,North,Studio,5,3,1757,16786955.0,18,Furnished,No,Sold,2024-12-29,9554.328400682982,11-20 Years
P100194,Delhi,South,Villa,2,1,728,35946723.0,7,Unfurnished,No,Available,,49377.366758241755,6-10 Years
P100195,Chennai,North,Builder Floor,5,1,2098,41933909.0,2,Furnished,No,Sold,2021-11-30,19987.56387035272,0-5 Years
P100196,Pune,Central,Builder Floor,5,1,1723,10797292.0,21,Semi-Furnished,Yes,Sold,2024-09-14,6266.565293093442,20+ Years
P100197,Bangalore,Central,Studio,4,2,2099,21152079.0,3,Unfurnished,Yes,Available,,10077.217246307766,0-5 Years
P100198,Bangalore,South,Villa,3,1,2536,33888458.0,7,Unknown,No,Available,,13362.956624605678,6-10 Years
P100199,Hyderabad,Central,Builder Floor,4,3,414,29938776.0,22,Furnished,Yes,Available,,72315.88405797101,20+ Years
P100200,Chennai,South,Apartment,3,1,3772,3807422.0,11,Unfurnished,No,Sold,2021-03-16,1009.3907741251326,11-20 Years
P100201,Mumbai,South,Apartment,2,3,1033,4145689.0,4,Furnished,No,Sold,2024-05-21,4013.2516940948694,0-5 Years
P100202,Hyderabad,Central,Builder Floor,5,3,3789,43952734.0,2,Semi-Furnished,Yes,Sold,2021-05-08,11600.088149907628,0-5 Years
P100203,Chennai,West,Apartment,4,3,2283,22679856.0,4,Semi-Furnished,No,Available,,9934.233902759526,0-5 Years
P100204,Pune,South,Studio,2,1,2625,7526016.0,3,Furnished,No,Sold,2022-06-07,2867.0537142857142,0-5 Years
P100205,Pune,Central,Builder Floor,2,1,1885,42649113.0,23,Semi-Furnished,No,Sold,2024-05-18,22625.524137931036,20+ Years
P100206,Pune,West,Villa,3,4,2716,24422424.0,10,Furnished,Yes,Sold,2022-06-14,8992.055964653902,6-10 Years
P100207,Pune,South,Builder Floor,5,1,1528,37712586.0,20,Semi-Furnished,Yes,Sold,2021-02-27,24681.011780104713,11-20 Years
P100208,Pune,West,Studio,3,1,2094,42170383.0,15,Semi-Furnished,Yes,Sold,2021-05-31,20138.67382999045,11-20 Years
P100209,Chennai,East,Villa,3,1,3988,36273171.0,20,Semi-Furnished,Yes,Available,,9095.579488465397,11-20 Years
P100210,Chennai,East,Studio,2,2,2786,24976937.0,17,Semi-Furnished,No,Sold,2024-06-16,8965.160445082556,11-20 Years
